split,label,dataset,episode,segment_index,start_frame,end_frame,sample_start,sample_end,frame,path,instruction,prompt
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,12,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000012.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,22,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000022.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,32,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000032.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,42,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000042.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,52,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000052.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,62,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000062.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,72,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000072.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,82,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000082.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,92,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000092.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,102,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000102.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,112,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000112.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,122,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000122.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,132,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000132.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,142,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000142.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,152,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000152.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,162,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000162.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,172,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000172.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,182,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000182.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,192,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000192.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,202,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000202.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,212,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000212.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,222,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000222.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,grab_table,sorting_packages_part_1,0,0,0,239,12,227,226,train/grab_table/sorting_packages_part_1_ep000000_seg00_f000226.jpg,Grab the package on the table with right arm black.,Grab the package on the table with right arm black.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,242,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000242.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,252,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000252.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,262,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000262.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,272,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000272.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,282,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000282.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,292,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000292.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,turn_to_scanner,sorting_packages_part_1,0,1,239,302,242,299,298,train/turn_to_scanner/sorting_packages_part_1_ep000000_seg01_f000298.jpg,Turn the waist right to face the barcode scanner.,Turn the waist right to face the barcode scanner.
train,place_on_scanning_table,sorting_packages_part_1,0,2,302,552,377,514,377,train/place_on_scanning_table/sorting_packages_part_1_ep000000_seg02_f000377.jpg,Place the package on the scanning table with the barcode facing up.,Place the package on the scanning table with the barcode facing up.
train,place_on_scanning_table,sorting_packages_part_1,0,2,302,552,377,514,387,train/place_on_scanning_table/sorting_packages_part_1_ep000000_seg02_f000387.jpg,Place the package on the scanning table with the barcode facing up.,Place the package on the scanning table with the barcode facing up.
train,place_on_scanning_table,sorting_packages_part_1,0,2,302,552,377,514,397,train/place_on_scanning_table/sorting_packages_part_1_ep000000_seg02_f000397.jpg,Place the package on the scanning table with the barcode facing up.,Place the package on the scanning table with the barcode facing up.
train,place_on_scanning_table,sorting_packages_part_1,0,2,302,552,377,514,407,train/place_on_scanning_table/sorting_packages_part_1_ep000000_seg02_f000407.jpg,Place the package on the scanning table with the barcode facing up.,Place the package on the scanning table with the barcode facing up.
train,place_on_scanning_table,sorting_packages_part_1,0,2,302,552,377,514,417,train/place_on_scanning_table/sorting_packages_part_1_ep000000_seg02_f000417.jpg,Place the package on the scanning table with the barcode facing up.,Place the package on the scanning table with the barcode facing up.
